Model,Feature Group,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-3,mfcc20,64,5,50,0.001,val_accuracy,0.5833333134651184
DNN-8,mfcc20,128,3,100,0.001,val_accuracy,0.5833333134651184
DNN-8,mfcc20,128,3,50,0.001,val_accuracy,0.5833333134651184
DNN-0,mfcc20,128,5,50,0.0001,val_accuracy,0.5833333134651184
DNN-9,mfcc40,64,10,50,0.0005,val_accuracy,0.5833333134651184
DNN-9,mfcc40,64,3,100,0.001,val_accuracy,0.5833333134651184
DNN-3,mfcc40,64,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-9,mfcc20,128,3,50,0.0005,val_accuracy,0.5833333134651184
DNN-2,mfcc13,128,5,50,0.001,val_accuracy,0.5833333134651184
DNN-4,mfcc40,128,5,100,0.001,val_accuracy,0.5833333134651184
DNN-6,logmel,64,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-8,mfcc20,64,10,50,0.001,val_accuracy,0.5833333134651184
DNN-8,mfcc20,64,5,50,0.001,val_accuracy,0.5833333134651184
DNN-2,mfcc40,64,5,100,0.001,val_accuracy,0.5833333134651184
DNN-2,mfcc20,128,5,50,0.0001,val_accuracy,0.5833333134651184
DNN-6,mfcc40,128,5,100,0.0005,val_accuracy,0.5833333134651184
DNN-6,mfcc40,128,5,100,0.001,val_accuracy,0.5833333134651184
DNN-3,mfcc20,128,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-6,mfcc13,128,10,100,0.0001,val_accuracy,0.5833333134651184
DNN-3,mfcc40,64,5,50,0.0001,val_accuracy,0.5833333134651184
DNN-5,mfcc40,128,10,50,0.0005,val_accuracy,0.5833333134651184
DNN-1,mfcc40,64,3,50,0.0005,val_accuracy,0.5833333134651184
DNN-5,mfcc40,128,3,100,0.0005,val_accuracy,0.5833333134651184
DNN-0,mfcc20,128,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-5,mfcc20,64,10,50,0.001,val_accuracy,0.5833333134651184
DNN-6,mfcc13,64,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-2,mfcc20,64,10,50,0.0001,val_accuracy,0.5763888955116272
DNN-2,mfcc20,64,10,50,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc20,64,3,100,0.0005,val_accuracy,0.5763888955116272
DNN-5,mfcc40,64,10,50,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc13,64,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-1,mfcc20,64,10,100,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc20,128,10,100,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc13,128,10,100,0.001,val_accuracy,0.5763888955116272
DNN-1,mfcc20,128,10,100,0.001,val_accuracy,0.5763888955116272
DNN-3,mfcc40,64,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc40,64,3,50,0.0001,val_accuracy,0.5763888955116272
DNN-4,mfcc40,64,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-4,mfcc20,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-4,mfcc40,128,10,50,0.001,val_accuracy,0.5763888955116272
DNN-6,logmel,64,10,100,0.0005,val_accuracy,0.5763888955116272
DNN-8,mfcc20,128,5,100,0.001,val_accuracy,0.5763888955116272
DNN-8,mfcc20,128,5,50,0.0005,val_accuracy,0.5763888955116272
DNN-9,mfcc20,128,3,50,0.001,val_accuracy,0.5763888955116272
DNN-9,mfcc20,128,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc13,128,3,100,0.001,val_accuracy,0.5763888955116272
DNN-6,logmel,64,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-2,mfcc40,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-6,mfcc40,128,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc20,128,5,50,0.001,val_accuracy,0.5763888955116272
DNN-8,mfcc20,64,5,50,0.0001,val_accuracy,0.5763888955116272
DNN-7,mfcc13,64,10,100,0.001,val_accuracy,0.5763888955116272
DNN-9,mfcc20,128,3,100,0.0001,val_accuracy,0.5763888955116272
DNN-2,mfcc40,64,10,50,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc20,128,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc40,64,10,100,0.0005,val_accuracy,0.5763888955116272
DNN-9,mfcc40,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-3,mfcc40,64,10,50,0.001,val_accuracy,0.5763888955116272
DNN-4,mfcc13,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-3,mfcc40,64,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-1,mfcc13,64,3,100,0.001,val_accuracy,0.5763888955116272
DNN-1,mfcc13,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-6,mfcc13,64,10,50,0.0005,val_accuracy,0.5763888955116272
DNN-8,mfcc13,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-2,mfcc13,64,10,50,0.001,val_accuracy,0.5763888955116272
DNN-9,mfcc40,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-9,mfcc40,64,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-9,mfcc20,64,10,50,0.001,val_accuracy,0.5763888955116272
DNN-6,mfcc40,64,5,100,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc13,64,5,50,0.0001,val_accuracy,0.5763888955116272
DNN-9,mfcc13,128,10,100,0.0005,val_accuracy,0.5763888955116272
DNN-3,mfcc13,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-3,mfcc13,128,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc40,128,5,50,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc20,64,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc20,128,3,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc20,64,3,100,0.001,val_accuracy,0.5763888955116272
DNN-4,mfcc20,128,10,50,0.001,val_accuracy,0.5763888955116272
DNN-2,mfcc20,64,5,100,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc13,64,5,50,0.001,val_accuracy,0.5763888955116272
DNN-3,mfcc20,128,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-3,mfcc20,128,5,100,0.001,val_accuracy,0.5763888955116272
DNN-8,mfcc40,128,3,50,0.0001,val_accuracy,0.5763888955116272
DNN-3,logmel,128,5,100,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc40,64,10,50,0.0001,val_accuracy,0.5763888955116272
DNN-6,mfcc40,64,10,50,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc13,128,5,50,0.001,val_accuracy,0.5763888955116272
DNN-6,mfcc40,64,3,50,0.0001,val_accuracy,0.5763888955116272
DNN-9,mfcc20,64,3,50,0.0005,val_accuracy,0.5763888955116272
DNN-0,mfcc40,64,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-4,logmel,64,5,100,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,128,5,50,0.0005,val_accuracy,0.5763888955116272
DNN-5,mfcc40,64,5,50,0.0005,val_accuracy,0.5763888955116272
DNN-6,mfcc13,64,5,50,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc40,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-4,mfcc40,64,10,50,0.0001,val_accuracy,0.5763888955116272
DNN-9,mfcc40,128,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-9,mfcc40,64,5,100,0.0005,val_accuracy,0.5763888955116272
DNN-2,mfcc13,128,10,50,0.001,val_accuracy,0.5763888955116272
DNN-4,mfcc20,128,5,100,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,64,10,50,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,128,5,100,0.0001,val_accuracy,0.5763888955116272
DNN-7,mfcc20,128,5,100,0.001,val_accuracy,0.5763888955116272
DNN-1,mfcc40,64,10,100,0.001,val_accuracy,0.5763888955116272
DNN-7,mfcc40,64,3,100,0.001,val_accuracy,0.5763888955116272
DNN-2,mfcc40,128,3,100,0.0001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,128,3,100,0.0001,val_accuracy,0.5763888955116272
DNN-2,mfcc13,64,5,100,0.0005,val_accuracy,0.5763888955116272
DNN-0,mfcc40,128,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-8,mfcc13,64,10,100,0.0001,val_accuracy,0.5763888955116272
DNN-7,mfcc40,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,128,10,100,0.0005,val_accuracy,0.5763888955116272
DNN-1,mfcc20,64,5,50,0.0005,val_accuracy,0.5763888955116272
DNN-1,mfcc20,64,3,50,0.001,val_accuracy,0.5763888955116272
DNN-5,mfcc40,128,5,50,0.0001,val_accuracy,0.5694444179534912
DNN-6,mfcc20,64,3,50,0.0005,val_accuracy,0.5694444179534912
DNN-1,mfcc20,64,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-1,mfcc40,64,5,100,0.0001,val_accuracy,0.5694444179534912
DNN-5,logmel,128,10,50,0.0001,val_accuracy,0.5694444179534912
DNN-8,mfcc40,128,5,100,0.0005,val_accuracy,0.5694444179534912
DNN-6,mfcc20,64,10,50,0.0005,val_accuracy,0.5694444179534912
DNN-7,mfcc40,128,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-7,mfcc13,128,10,50,0.001,val_accuracy,0.5694444179534912
DNN-0,mfcc13,64,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-5,mfcc20,128,10,50,0.0001,val_accuracy,0.5694444179534912
DNN-5,mfcc20,64,5,50,0.001,val_accuracy,0.5694444179534912
DNN-5,mfcc13,64,3,100,0.0005,val_accuracy,0.5694444179534912
DNN-8,mfcc13,128,10,100,0.001,val_accuracy,0.5694444179534912
DNN-8,mfcc13,64,10,50,0.0001,val_accuracy,0.5694444179534912
DNN-5,mfcc13,128,5,100,0.001,val_accuracy,0.5694444179534912
DNN-2,mfcc13,128,5,100,0.001,val_accuracy,0.5694444179534912
DNN-4,mfcc20,64,3,100,0.001,val_accuracy,0.5694444179534912
DNN-9,mfcc40,128,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-9,mfcc40,128,10,100,0.001,val_accuracy,0.5694444179534912
DNN-9,mfcc40,128,10,50,0.001,val_accuracy,0.5694444179534912
DNN-5,mfcc13,128,3,50,0.001,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,5,50,0.0001,val_accuracy,0.5694444179534912
DNN-4,logmel,64,10,50,0.0005,val_accuracy,0.5694444179534912
DNN-6,mfcc40,64,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-6,mfcc40,64,3,100,0.0005,val_accuracy,0.5694444179534912
DNN-6,mfcc40,64,5,50,0.0001,val_accuracy,0.5694444179534912
DNN-8,mfcc40,64,10,50,0.0001,val_accuracy,0.5694444179534912
DNN-8,mfcc40,128,3,50,0.0005,val_accuracy,0.5694444179534912
DNN-3,mfcc40,128,3,100,0.001,val_accuracy,0.5694444179534912
DNN-3,mfcc13,64,3,50,0.001,val_accuracy,0.5694444179534912
DNN-3,mfcc13,64,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-3,mfcc13,64,3,100,0.0001,val_accuracy,0.5694444179534912
DNN-3,mfcc13,128,5,100,0.0001,val_accuracy,0.5694444179534912
DNN-3,mfcc13,128,5,100,0.0005,val_accuracy,0.5694444179534912
DNN-3,mfcc40,64,10,100,0.001,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,5,100,0.0005,val_accuracy,0.5694444179534912
DNN-9,mfcc40,64,10,100,0.001,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,5,50,0.001,val_accuracy,0.5694444179534912
DNN-3,mfcc13,128,5,100,0.001,val_accuracy,0.5694444179534912
DNN-4,mfcc13,128,5,50,0.001,val_accuracy,0.5694444179534912
DNN-2,mfcc13,128,5,100,0.0001,val_accuracy,0.5694444179534912
DNN-0,mfcc20,64,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-0,mfcc20,128,5,100,0.0001,val_accuracy,0.5694444179534912
DNN-0,mfcc13,128,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,10,50,0.0005,val_accuracy,0.5694444179534912
DNN-2,mfcc13,64,10,50,0.0001,val_accuracy,0.5694444179534912
DNN-5,mfcc20,128,3,50,0.001,val_accuracy,0.5694444179534912
DNN-5,mfcc13,64,5,50,0.001,val_accuracy,0.5694444179534912
DNN-2,mfcc40,64,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-9,mfcc20,64,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,3,100,0.0005,val_accuracy,0.5694444179534912
DNN-9,mfcc20,128,3,100,0.001,val_accuracy,0.5694444179534912
DNN-7,logmel,128,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-2,mfcc20,128,10,100,0.0001,val_accuracy,0.5694444179534912
DNN-2,mfcc20,64,10,100,0.0005,val_accuracy,0.5694444179534912
DNN-2,mfcc20,128,3,100,0.0005,val_accuracy,0.5694444179534912
