Model,Feature Group,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-2,mfcc40,64,3,100,0.0005,val_accuracy,0.5972222089767456
DNN-8,mfcc13,128,10,50,0.001,val_accuracy,0.5972222089767456
DNN-9,mfcc40,64,3,100,0.0005,val_accuracy,0.5972222089767456
DNN-5,mfcc20,128,10,50,0.001,val_accuracy,0.5972222089767456
DNN-5,mfcc20,128,3,100,0.0005,val_accuracy,0.5972222089767456
DNN-5,mfcc20,128,10,50,0.0005,val_accuracy,0.5972222089767456
DNN-2,mfcc20,128,10,100,0.0005,val_accuracy,0.5972222089767456
DNN-3,mfcc20,64,10,50,0.0001,val_accuracy,0.5972222089767456
DNN-5,mfcc20,64,10,100,0.001,val_accuracy,0.5972222089767456
DNN-6,mfcc40,64,5,100,0.0001,val_accuracy,0.5972222089767456
DNN-2,mfcc20,128,10,100,0.001,val_accuracy,0.5972222089767456
DNN-6,mfcc20,128,10,100,0.0001,val_accuracy,0.5972222089767456
DNN-2,mfcc40,128,10,50,0.001,val_accuracy,0.5972222089767456
DNN-9,mfcc40,128,3,50,0.001,val_accuracy,0.5972222089767456
DNN-4,mfcc20,64,5,100,0.001,val_accuracy,0.5972222089767456
DNN-8,mfcc20,64,10,50,0.0001,val_accuracy,0.5972222089767456
DNN-6,mfcc13,128,5,100,0.0005,val_accuracy,0.5972222089767456
DNN-6,mfcc40,64,5,50,0.001,val_accuracy,0.5972222089767456
DNN-9,mfcc40,64,10,100,0.0005,val_accuracy,0.5972222089767456
DNN-9,mfcc20,128,5,100,0.001,val_accuracy,0.5972222089767456
DNN-9,mfcc20,64,10,100,0.001,val_accuracy,0.5972222089767456
DNN-6,mfcc20,64,10,100,0.0001,val_accuracy,0.5972222089767456
DNN-9,mfcc20,64,3,50,0.001,val_accuracy,0.5972222089767456
DNN-5,mfcc13,64,3,100,0.0001,val_accuracy,0.5972222089767456
DNN-8,mfcc20,128,5,50,0.001,val_accuracy,0.5972222089767456
DNN-6,mfcc20,128,5,100,0.001,val_accuracy,0.5972222089767456
DNN-6,mfcc20,128,10,50,0.001,val_accuracy,0.5972222089767456
DNN-7,mfcc13,64,3,50,0.001,val_accuracy,0.5972222089767456
DNN-3,mfcc20,64,10,100,0.0005,val_accuracy,0.5972222089767456
DNN-4,mfcc20,128,10,100,0.0005,val_accuracy,0.5972222089767456
DNN-3,mfcc20,128,10,50,0.001,val_accuracy,0.5972222089767456
DNN-3,mfcc40,128,3,50,0.001,val_accuracy,0.5972222089767456
DNN-3,mfcc20,128,10,100,0.0001,val_accuracy,0.5972222089767456
DNN-5,mfcc40,128,3,50,0.0001,val_accuracy,0.5902777910232544
DNN-6,mfcc40,64,10,50,0.001,val_accuracy,0.5902777910232544
DNN-3,mfcc20,64,3,50,0.001,val_accuracy,0.5902777910232544
DNN-1,mfcc40,128,5,100,0.001,val_accuracy,0.5902777910232544
DNN-6,mfcc20,64,5,100,0.0005,val_accuracy,0.5902777910232544
DNN-3,mfcc13,64,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-3,mfcc20,128,5,50,0.001,val_accuracy,0.5902777910232544
DNN-0,mfcc20,128,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-0,mfcc20,64,10,50,0.0001,val_accuracy,0.5902777910232544
DNN-5,mfcc13,64,5,100,0.0005,val_accuracy,0.5902777910232544
DNN-9,mfcc40,128,3,50,0.0001,val_accuracy,0.5902777910232544
DNN-9,mfcc40,128,10,50,0.0001,val_accuracy,0.5902777910232544
DNN-9,mfcc40,64,10,50,0.001,val_accuracy,0.5902777910232544
DNN-8,mfcc20,64,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-6,mfcc13,128,10,50,0.001,val_accuracy,0.5902777910232544
DNN-0,mfcc20,64,5,50,0.0001,val_accuracy,0.5902777910232544
DNN-2,mfcc20,64,10,100,0.001,val_accuracy,0.5902777910232544
DNN-8,mfcc13,128,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-0,mfcc20,128,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-5,mfcc20,64,10,100,0.0005,val_accuracy,0.5902777910232544
DNN-3,mfcc20,64,10,100,0.001,val_accuracy,0.5902777910232544
DNN-8,mfcc40,64,3,100,0.0005,val_accuracy,0.5902777910232544
DNN-6,mfcc13,128,3,100,0.0005,val_accuracy,0.5902777910232544
DNN-9,mfcc20,128,10,100,0.001,val_accuracy,0.5902777910232544
DNN-8,mfcc20,128,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-2,mfcc13,64,5,100,0.001,val_accuracy,0.5902777910232544
DNN-2,mfcc20,128,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-2,mfcc40,64,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-2,mfcc20,64,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-2,mfcc40,128,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-8,mfcc20,128,3,50,0.0001,val_accuracy,0.5902777910232544
DNN-8,mfcc20,128,10,100,0.0001,val_accuracy,0.5902777910232544
DNN-8,mfcc20,128,10,100,0.001,val_accuracy,0.5902777910232544
DNN-3,mfcc40,128,3,100,0.0005,val_accuracy,0.5902777910232544
DNN-3,mfcc40,128,5,50,0.001,val_accuracy,0.5902777910232544
DNN-6,mfcc40,128,3,100,0.001,val_accuracy,0.5902777910232544
DNN-6,mfcc40,128,5,100,0.0001,val_accuracy,0.5902777910232544
DNN-6,mfcc20,64,10,50,0.0001,val_accuracy,0.5902777910232544
DNN-6,mfcc20,128,3,100,0.0005,val_accuracy,0.5902777910232544
DNN-6,mfcc20,128,3,50,0.0005,val_accuracy,0.5902777910232544
DNN-6,mfcc40,128,5,50,0.001,val_accuracy,0.5902777910232544
DNN-3,mfcc40,128,10,50,0.0005,val_accuracy,0.5902777910232544
DNN-5,mfcc20,64,5,100,0.001,val_accuracy,0.5902777910232544
DNN-2,mfcc20,64,5,50,0.0005,val_accuracy,0.5902777910232544
DNN-2,mfcc40,128,3,50,0.0005,val_accuracy,0.5902777910232544
DNN-6,mfcc20,128,5,50,0.0005,val_accuracy,0.5902777910232544
DNN-5,mfcc40,64,5,50,0.001,val_accuracy,0.5902777910232544
DNN-5,mfcc40,64,3,100,0.0001,val_accuracy,0.5902777910232544
DNN-5,mfcc20,128,10,100,0.001,val_accuracy,0.5902777910232544
DNN-6,mfcc13,64,3,50,0.001,val_accuracy,0.5833333134651184
DNN-6,mfcc40,128,3,100,0.0005,val_accuracy,0.5833333134651184
DNN-3,mfcc20,64,5,100,0.0001,val_accuracy,0.5833333134651184
DNN-5,mfcc20,64,10,50,0.0005,val_accuracy,0.5833333134651184
DNN-5,mfcc40,64,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-6,mfcc40,128,10,50,0.0005,val_accuracy,0.5833333134651184
DNN-6,mfcc40,128,3,100,0.0001,val_accuracy,0.5833333134651184
DNN-9,mfcc20,64,3,100,0.0001,val_accuracy,0.5833333134651184
DNN-9,mfcc40,128,10,100,0.0005,val_accuracy,0.5833333134651184
DNN-9,mfcc40,128,5,50,0.0005,val_accuracy,0.5833333134651184
DNN-5,mfcc40,64,5,50,0.0001,val_accuracy,0.5833333134651184
DNN-6,mfcc20,128,5,100,0.0001,val_accuracy,0.5833333134651184
DNN-4,mfcc40,64,10,50,0.0005,val_accuracy,0.5833333134651184
DNN-6,mfcc40,64,3,50,0.0005,val_accuracy,0.5833333134651184
DNN-6,mfcc40,64,3,50,0.001,val_accuracy,0.5833333134651184
DNN-3,mfcc13,64,10,100,0.001,val_accuracy,0.5833333134651184
DNN-9,mfcc20,64,5,100,0.0001,val_accuracy,0.5833333134651184
DNN-8,mfcc40,128,3,100,0.001,val_accuracy,0.5833333134651184
DNN-4,mfcc20,128,5,50,0.001,val_accuracy,0.5833333134651184
DNN-4,mfcc40,64,10,100,0.001,val_accuracy,0.5833333134651184
DNN-2,mfcc40,128,3,100,0.001,val_accuracy,0.5833333134651184
DNN-6,mfcc20,128,5,100,0.0005,val_accuracy,0.5833333134651184
DNN-6,mfcc20,64,10,100,0.001,val_accuracy,0.5833333134651184
DNN-3,mfcc13,128,3,100,0.0005,val_accuracy,0.5833333134651184
DNN-3,mfcc13,128,10,50,0.0001,val_accuracy,0.5833333134651184
DNN-3,mfcc13,64,3,100,0.001,val_accuracy,0.5833333134651184
DNN-8,mfcc40,128,10,100,0.0001,val_accuracy,0.5833333134651184
DNN-8,mfcc40,128,10,100,0.0005,val_accuracy,0.5833333134651184
DNN-9,mfcc13,64,3,50,0.0005,val_accuracy,0.5833333134651184
DNN-9,mfcc13,64,3,50,0.001,val_accuracy,0.5833333134651184
DNN-9,mfcc13,128,10,100,0.001,val_accuracy,0.5833333134651184
DNN-5,mfcc20,128,5,50,0.001,val_accuracy,0.5833333134651184
DNN-9,mfcc20,64,10,100,0.0001,val_accuracy,0.5833333134651184
DNN-9,mfcc20,64,10,50,0.0005,val_accuracy,0.5833333134651184
