Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-9,128,3,50,0.001,val_accuracy,0.2867476853231589
DNN-5,64,10,50,0.0005,val_accuracy,0.28674768439183634
DNN-5,128,10,50,0.0005,val_accuracy,0.28674768283963203
DNN-2,64,10,50,0.001,val_accuracy,0.2864583373690645
DNN-5,64,5,50,0.0005,val_accuracy,0.2864583358168602
DNN-2,128,3,100,0.0001,val_accuracy,0.28645833395421505
DNN-3,64,10,100,0.001,val_accuracy,0.2864583333333333
DNN-6,128,3,100,0.0005,val_accuracy,0.28645833271245164
DNN-5,64,5,100,0.001,val_accuracy,0.2861689856896798
DNN-7,64,10,100,0.001,val_accuracy,0.28616898382703465
DNN-6,128,5,50,0.001,val_accuracy,0.2861689819643895
DNN-9,128,5,50,0.001,val_accuracy,0.2861689819643895
DNN-8,64,3,100,0.001,val_accuracy,0.28616898134350777
DNN-5,128,5,100,0.0001,val_accuracy,0.28616898072262603
DNN-9,64,3,100,0.001,val_accuracy,0.28616898072262603
DNN-8,128,3,100,0.001,val_accuracy,0.2861689794808626
DNN-5,64,3,50,0.0005,val_accuracy,0.2858796324580908
DNN-6,64,5,100,0.0001,val_accuracy,0.28587962811191875
DNN-2,128,10,100,0.0001,val_accuracy,0.28559027922650176
DNN-5,128,3,100,0.001,val_accuracy,0.28559027922650176
DNN-6,128,10,50,0.0001,val_accuracy,0.2855902773638566
DNN-8,64,5,50,0.001,val_accuracy,0.28559027674297494
DNN-3,64,5,50,0.0001,val_accuracy,0.28559027425944805
DNN-8,64,5,100,0.0005,val_accuracy,0.28530093003064394
DNN-4,64,3,50,0.001,val_accuracy,0.28530092847843963
DNN-3,64,3,100,0.001,val_accuracy,0.28530092537403107
DNN-7,128,10,100,0.001,val_accuracy,0.2853009235113859
DNN-2,64,10,100,0.0005,val_accuracy,0.2853009235113859
DNN-8,128,3,100,0.0005,val_accuracy,0.2850115749364098
DNN-2,128,5,100,0.0005,val_accuracy,0.2850115749364098
DNN-5,128,10,100,0.001,val_accuracy,0.28501157462596893
DNN-3,128,10,100,0.0001,val_accuracy,0.2850115740050872
DNN-5,64,10,100,0.0005,val_accuracy,0.2850115727633238
DNN-2,64,5,50,0.0001,val_accuracy,0.2850115702797969
DNN-2,128,3,100,0.0005,val_accuracy,0.2850115702797969
DNN-4,64,10,50,0.001,val_accuracy,0.2847222251196702
DNN-8,64,10,100,0.001,val_accuracy,0.28472222449878853
DNN-6,128,5,100,0.001,val_accuracy,0.2847222223257025
DNN-9,64,10,50,0.0005,val_accuracy,0.28472222201526165
DNN-9,64,3,100,0.0005,val_accuracy,0.28472222077349824
DNN-2,128,5,100,0.001,val_accuracy,0.2844328709567587
DNN-6,128,5,100,0.0001,val_accuracy,0.2844328700254361
DNN-6,128,3,50,0.001,val_accuracy,0.2844328700254361
