Model,Feature Group,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
CNN-4,CNN_CQT_Spectrogram,64.0,5.0,50.0,0.001,val_accuracy,0.6319444444444444
CNN-4,CNN_MFCC_with_Deltas,64.0,5.0,50.0,0.0005,val_accuracy,0.6319444444444444
CNN-1,CNN_CQT_Spectrogram,128.0,10.0,50.0,0.001,val_accuracy,0.6319444444444444
CNN-0,CNN_MFCC_with_Deltas,128.0,10.0,100.0,0.0005,val_accuracy,0.625
CNN-4,CNN_MFCC_with_Deltas,64.0,10.0,50.0,0.0001,val_accuracy,0.625
CNN-0,CNN_MFCC_with_Deltas,128.0,3.0,100.0,0.001,val_accuracy,0.625
CNN-3,CNN_MFCC_with_Deltas,128.0,10.0,50.0,0.0005,val_accuracy,0.625
CNN-1,CNN_MFCC_with_Deltas,128.0,5.0,50.0,0.0005,val_accuracy,0.625
CNN-1,CNN_MFCC_with_Deltas,128.0,10.0,100.0,0.001,val_accuracy,0.625
CNN-1,CNN_CQT_Spectrogram,128.0,10.0,50.0,0.0005,val_accuracy,0.625
CNN-1,CNN_CQT_Spectrogram,128.0,5.0,100.0,0.001,val_accuracy,0.625
CNN-0,CNN_CQT_Spectrogram,128.0,10.0,50.0,0.0005,val_accuracy,0.625
CNN-1,CNN_MFCC_with_Deltas,128.0,3.0,50.0,0.0005,val_accuracy,0.625
CNN-1,CNN_MFCC_with_Deltas,128.0,3.0,100.0,0.001,val_accuracy,0.625
CNN-3,CNN_Mel_Spectrogram,128.0,5.0,50.0,0.001,val_accuracy,0.625
CNN-1,CNN_CQT_Spectrogram,128.0,10.0,100.0,0.001,val_accuracy,0.625
CNN-3,CNN_CQT_Spectrogram,64.0,5.0,100.0,0.001,val_accuracy,0.625
CNN-3,CNN_CQT_Spectrogram,64.0,5.0,100.0,0.0001,val_accuracy,0.6180555555555556
CNN-0,CNN_MFCC_with_Deltas,128.0,10.0,50.0,0.001,val_accuracy,0.6180555555555556
CNN-3,CNN_MFCC_with_Deltas,128.0,5.0,100.0,0.001,val_accuracy,0.6180555555555556
CNN-4,CNN_MFCC_with_Deltas,64.0,10.0,50.0,0.0005,val_accuracy,0.6180555555555556
CNN-3,CNN_MFCC_with_Deltas,64.0,5.0,50.0,0.0005,val_accuracy,0.6180555555555556
CNN-1,CNN_CQT_Spectrogram,128.0,10.0,100.0,0.0001,val_accuracy,0.6180555555555556
CNN-1,CNN_CQT_Spectrogram,128.0,10.0,100.0,0.0005,val_accuracy,0.6180555555555556
CNN-4,CNN_CQT_Spectrogram,128.0,10.0,50.0,0.0005,val_accuracy,0.6180555555555556
CNN-0,CNN_MFCC_with_Deltas,128.0,5.0,50.0,0.001,val_accuracy,0.6180555555555556
CNN-1,CNN_CQT_Spectrogram,128.0,5.0,50.0,0.0001,val_accuracy,0.6180555555555556
CNN-4,CNN_MFCC_with_Deltas,128.0,10.0,100.0,0.0005,val_accuracy,0.6180555555555556
CNN-1,CNN_CQT_Spectrogram,128.0,5.0,50.0,0.001,val_accuracy,0.6180555555555556
CNN-3,CNN_CQT_Spectrogram,64.0,10.0,100.0,0.0005,val_accuracy,0.6111111111111112
CNN-1,CNN_CQT_Spectrogram,128.0,5.0,100.0,0.0001,val_accuracy,0.6111111111111112
CNN-4,CNN_MFCC_with_Deltas,64.0,5.0,100.0,0.001,val_accuracy,0.6111111111111112
CNN-0,CNN_MFCC_with_Deltas,64.0,10.0,50.0,0.0001,val_accuracy,0.6111111111111112
CNN-0,CNN_MFCC_with_Deltas,64.0,5.0,100.0,0.0001,val_accuracy,0.6111111111111112
CNN-3,CNN_CQT_Spectrogram,64.0,10.0,50.0,0.0005,val_accuracy,0.6111111111111112
CNN-1,CNN_Mel_Spectrogram,128.0,3.0,100.0,0.001,val_accuracy,0.6111111111111112
CNN-1,CNN_MFCC_with_Deltas,128.0,10.0,50.0,0.0001,val_accuracy,0.6111111111111112
CNN-4,CNN_CQT_Spectrogram,128.0,10.0,50.0,0.0001,val_accuracy,0.6111111111111112
