Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
CNN-0,128.0,5.0,100.0,0.0001,val_accuracy,0.5083333333333333
CNN-0,64.0,10.0,100.0,0.001,val_accuracy,0.5083333333333333
CNN-0,64.0,5.0,100.0,0.0005,val_accuracy,0.5069444444444444
CNN-0,128.0,5.0,100.0,0.001,val_accuracy,0.5069444444444444
CNN-4,128.0,10.0,50.0,0.0001,val_accuracy,0.5069444444444444
CNN-0,128.0,10.0,50.0,0.0001,val_accuracy,0.5069444444444444
CNN-0,128.0,3.0,50.0,0.001,val_accuracy,0.5055555555555555
CNN-0,128.0,3.0,100.0,0.0005,val_accuracy,0.5041666666666667
CNN-3,64.0,3.0,50.0,0.0005,val_accuracy,0.5041666666666667
CNN-3,128.0,3.0,100.0,0.0005,val_accuracy,0.5027777777777778
CNN-3,64.0,5.0,50.0,0.0001,val_accuracy,0.5027777777777778
CNN-3,64.0,3.0,100.0,0.0001,val_accuracy,0.5013888888888889
CNN-3,64.0,5.0,100.0,0.0001,val_accuracy,0.5013888888888889
CNN-0,128.0,3.0,50.0,0.0005,val_accuracy,0.49861111111111117
CNN-0,64.0,3.0,100.0,0.0001,val_accuracy,0.49861111111111117
CNN-0,64.0,5.0,50.0,0.001,val_accuracy,0.49861111111111106
CNN-4,128.0,5.0,50.0,0.0001,val_accuracy,0.49722222222222223
CNN-3,128.0,3.0,50.0,0.001,val_accuracy,0.49722222222222223
CNN-4,128.0,3.0,50.0,0.001,val_accuracy,0.4958333333333333
CNN-3,64.0,3.0,50.0,0.001,val_accuracy,0.4930555555555555
CNN-3,64.0,3.0,50.0,0.0001,val_accuracy,0.4916666666666667
CNN-3,64.0,10.0,50.0,0.0001,val_accuracy,0.48888888888888893
CNN-0,128.0,5.0,50.0,0.0001,val_accuracy,0.48611111111111116
CNN-4,128.0,3.0,100.0,0.001,val_accuracy,0.48611111111111116
CNN-0,64.0,3.0,50.0,0.001,val_accuracy,0.4847222222222222
CNN-0,128.0,5.0,50.0,0.001,val_accuracy,0.4847222222222222
CNN-4,64.0,5.0,50.0,0.0001,val_accuracy,0.4833333333333333
CNN-3,128.0,3.0,50.0,0.0005,val_accuracy,0.4833333333333333
CNN-0,64.0,3.0,100.0,0.001,val_accuracy,0.4805555555555555
CNN-3,128.0,10.0,50.0,0.001,val_accuracy,0.4805555555555555
CNN-4,128.0,5.0,100.0,0.0001,val_accuracy,0.4791666666666667
CNN-0,64.0,5.0,50.0,0.0001,val_accuracy,0.47916666666666663
CNN-3,128.0,3.0,100.0,0.001,val_accuracy,0.47777777777777775
CNN-4,64.0,5.0,100.0,0.0001,val_accuracy,0.47777777777777775
CNN-3,128.0,3.0,100.0,0.0001,val_accuracy,0.47777777777777775
CNN-4,64.0,3.0,100.0,0.0001,val_accuracy,0.47777777777777775
CNN-0,64.0,3.0,50.0,0.0001,val_accuracy,0.47777777777777775
CNN-4,64.0,3.0,50.0,0.0001,val_accuracy,0.4763888888888889
CNN-3,128.0,5.0,50.0,0.0001,val_accuracy,0.475
CNN-0,128.0,3.0,100.0,0.0001,val_accuracy,0.4708333333333334
CNN-1,64.0,10.0,50.0,0.001,val_accuracy,0.46944444444444444
CNN-3,128.0,3.0,50.0,0.0001,val_accuracy,0.4638888888888889
CNN-1,64.0,5.0,100.0,0.001,val_accuracy,0.4611111111111111
CNN-0,128.0,3.0,50.0,0.0001,val_accuracy,0.45972222222222225
CNN-1,64.0,3.0,100.0,0.0001,val_accuracy,0.4569444444444445
CNN-4,128.0,3.0,100.0,0.0001,val_accuracy,0.4541666666666667
CNN-1,64.0,10.0,100.0,0.0001,val_accuracy,0.4541666666666667
CNN-1,64.0,5.0,50.0,0.0001,val_accuracy,0.4527777777777778
CNN-1,64.0,5.0,100.0,0.0001,val_accuracy,0.45138888888888895
CNN-1,64.0,3.0,50.0,0.0005,val_accuracy,0.45
CNN-1,64.0,10.0,100.0,0.0005,val_accuracy,0.44861111111111107
CNN-1,64.0,5.0,100.0,0.0005,val_accuracy,0.44305555555555554
CNN-1,64.0,10.0,100.0,0.001,val_accuracy,0.43888888888888894
CNN-1,64.0,3.0,100.0,0.0005,val_accuracy,0.43611111111111106
CNN-1,64.0,5.0,50.0,0.0005,val_accuracy,0.43472222222222223
CNN-1,64.0,5.0,50.0,0.001,val_accuracy,0.4305555555555555
CNN-1,64.0,10.0,50.0,0.0005,val_accuracy,0.4305555555555555
CNN-1,64.0,10.0,50.0,0.0001,val_accuracy,0.4291666666666667
CNN-1,64.0,3.0,50.0,0.001,val_accuracy,0.4291666666666667
CNN-1,64.0,3.0,100.0,0.001,val_accuracy,0.4180555555555555
CNN-1,64.0,3.0,50.0,0.0001,val_accuracy,0.4138888888888889
CNN-4,128.0,3.0,50.0,0.0001,val_accuracy,0.3861111111111111
CNN-2,128.0,10.0,50.0,0.001,val_accuracy,0.31666666666666665
CNN-2,64.0,10.0,100.0,0.0005,val_accuracy,0.3125
CNN-2,64.0,3.0,100.0,0.0005,val_accuracy,0.2972222222222222
CNN-2,64.0,10.0,50.0,0.001,val_accuracy,0.2958333333333333
CNN-2,64.0,10.0,100.0,0.001,val_accuracy,0.29444444444444445
CNN-2,64.0,5.0,50.0,0.001,val_accuracy,0.2944444444444444
CNN-2,128.0,10.0,100.0,0.0005,val_accuracy,0.29166666666666663
CNN-2,64.0,5.0,50.0,0.0005,val_accuracy,0.2875
CNN-2,64.0,10.0,50.0,0.0001,val_accuracy,0.2861111111111111
CNN-2,64.0,5.0,100.0,0.001,val_accuracy,0.2833333333333333
CNN-2,64.0,10.0,50.0,0.0005,val_accuracy,0.28194444444444444
